Date,Method,Stalk Interactions,Variety,Section,Stalk Number,Mean,Median,Std_Dev,Coeff. Var.
08_22,Hi-STIFS,Isolated,Vigor Root,7-B Iso,S01,19.6746,20.7858,3.953,0.1902
08_22,Hi-STIFS,Isolated,Vigor Root,7-B Iso,S02,34.5267,33.2425,11.9474,0.3594
08_22,Hi-STIFS,Isolated,Vigor Root,7-B Iso,S03,14.08,14.5974,4.9195,0.337
08_22,Hi-STIFS,Isolated,Vigor Root,7-B Iso,S04,43.6194,44.0864,10.1316,0.2298
08_22,DARLING,Isolated,Popcorn,8-C Iso,S01,13.612,13.423,0.94,0.07
08_22,DARLING,Isolated,Popcorn,8-C Iso,S02,35.836,34.575,4.608,0.1333
08_22,DARLING,Isolated,Popcorn,8-C Iso,S03,25.091,25.887,5.032,0.1944
08_22,DARLING,Isolated,Popcorn,8-C Iso,S04,38.243,40.959,6.459,0.1577
08_22,DARLING,Isolated,Popcorn,8-C Iso,S05,33.237,33.853,3.781,0.1117
08_22,DARLING,Isolated,Popcorn,8-C Iso,S06,44.855,46.575,7.309,0.1569
08_22,Hi-STIFS,Isolated,Popcorn,8-C Iso,S01,25.9514,25.0579,5.069,0.2023
08_22,Hi-STIFS,Isolated,Popcorn,8-C Iso,S02,51.6044,46.8047,13.3196,0.2846
08_22,Hi-STIFS,Isolated,Popcorn,8-C Iso,S03,40.4062,45.1991,10.9591,0.2425
08_22,Hi-STIFS,Isolated,Popcorn,8-C Iso,S04,33.7088,33.7102,8.3946,0.249
08_22,Hi-STIFS,Isolated,Popcorn,8-C Iso,S05,34.2802,32.8496,8.1052,0.2467
08_22,Hi-STIFS,Isolated,Popcorn,8-C Iso,S06,71.7457,73.0855,10.7927,0.1477
08_22,DARLING,Isolated,Xtra Early 320,10-A Iso,S01,7.117,7.39,1.799,0.2434
08_22,DARLING,Isolated,Xtra Early 320,10-A Iso,S02,4.06,3.905,0.326,0.0835
08_22,DARLING,Isolated,Xtra Early 320,10-A Iso,S03,8.497,8.394,0.753,0.0897
08_22,DARLING,Isolated,Xtra Early 320,10-A Iso,S04,2.84,2.771,0.573,0.2068
08_22,DARLING,Isolated,Xtra Early 320,10-A Iso,S05,7.835,9.858,5.146,0.522
08_22,DARLING,Isolated,Xtra Early 320,10-A Iso,S06,8.789,8.981,0.816,0.0909
08_22,Hi-STIFS,Isolated,Xtra Early 320,10-A Iso,S01,8.4961,7.2526,3.492,0.4815
08_22,Hi-STIFS,Isolated,Xtra Early 320,10-A Iso,S02,6.8654,7.3316,1.1528,0.1572
08_22,Hi-STIFS,Isolated,Xtra Early 320,10-A Iso,S03,15.0854,15.1946,4.6076,0.3032
08_22,Hi-STIFS,Isolated,Xtra Early 320,10-A Iso,S04,3.9885,4.0139,0.8094,0.2016
08_22,Hi-STIFS,Isolated,Xtra Early 320,10-A Iso,S05,11.1623,9.0473,5.939,0.6564
08_22,Hi-STIFS,Isolated,Xtra Early 320,10-A Iso,S06,10.8488,11.3167,3.6215,0.32
08_22,DARLING,Interaction,Vigor Root,7-B,S01,32.777,34.688,3.72,0.1072
08_22,DARLING,Interaction,Vigor Root,7-B,S02,31.057,30.191,2.546,0.0843
08_22,DARLING,Interaction,Vigor Root,7-B,S03,36.624,48.298,22.008,0.4557
08_22,DARLING,Interaction,Vigor Root,7-B,S04,31.248,31.001,0.992,0.032
08_22,DARLING,Interaction,Vigor Root,7-B,S05,10.924,10.606,0.793,0.0748
08_22,DARLING,Interaction,Vigor Root,7-B,S06,33.361,35.526,4.091,0.1152
08_22,DARLING,Interaction,Vigor Root,7-B,S07,39.491,38.815,2.816,0.0725
08_22,Hi-STIFS,Interaction,Vigor Root,7-B,S01,27.42,26.1807,10.5857,0.4043
08_22,Hi-STIFS,Interaction,Vigor Root,7-B,S02,63.3421,66.0439,12.797,0.1938
08_22,Hi-STIFS,Interaction,Vigor Root,7-B,S03,31.1295,36.9783,11.0102,0.2977
08_22,Hi-STIFS,Interaction,Vigor Root,7-B,S04,27.4759,23.2223,12.5265,0.5394
08_22,Hi-STIFS,Interaction,Vigor Root,7-B,S05,20.692,20.5344,4.225,0.2057
08_22,Hi-STIFS,Interaction,Vigor Root,7-B,S06,28.5424,25.7483,7.5761,0.2942
08_22,Hi-STIFS,Interaction,Vigor Root,7-B,S07,46.5245,46.9954,9.6661,0.2057
08_22,DARLING,Interaction,Popcorn,8-C,S01,43.885,47.447,10.627,0.224
08_22,DARLING,Interaction,Popcorn,8-C,S02,34.295,34.46,4.442,0.1289
08_22,DARLING,Interaction,Popcorn,8-C,S03,35.337,35.939,7.373,0.2052
08_22,DARLING,Interaction,Popcorn,8-C,S04,21.377,21.066,3.964,0.1882
08_22,DARLING,Interaction,Popcorn,8-C,S05,41.828,43.722,4.22,0.0965
08_22,DARLING,Interaction,Popcorn,8-C,S06,35.327,35.347,4.175,0.1181
08_22,DARLING,Interaction,Popcorn,8-C,S07,34.373,34.411,1.26,0.0366
08_22,DARLING,Interaction,Popcorn,8-C,S08,32.752,33.316,2.614,0.0785
08_22,DARLING,Interaction,Popcorn,8-C,S09,7.627,7.625,0.265,0.0348
08_22,DARLING,Interaction,Popcorn,8-C,S10,36.836,37.426,1.838,0.0491
08_22,Hi-STIFS,Interaction,Popcorn,8-C,S01,13.0161,13.3886,4.0401,0.3018
08_22,Hi-STIFS,Interaction,Popcorn,8-C,S02,43.2016,43.2293,19.8789,0.4598
08_22,Hi-STIFS,Interaction,Popcorn,8-C,S03,65.0199,65.003,18.4941,0.2845
08_22,Hi-STIFS,Interaction,Popcorn,8-C,S04,46.3228,48.1483,11.1979,0.2326
08_22,Hi-STIFS,Interaction,Popcorn,8-C,S05,42.2785,41.267,10.0195,0.2428
08_22,Hi-STIFS,Interaction,Popcorn,8-C,S06,41.3409,41.0823,10.8829,0.2649
08_22,Hi-STIFS,Interaction,Popcorn,8-C,S07,29.7994,28.3302,11.6116,0.4099
08_22,Hi-STIFS,Interaction,Popcorn,8-C,S08,38.6505,35.7146,9.1204,0.2554
08_22,Hi-STIFS,Interaction,Popcorn,8-C,S09,14.8168,14.2036,2.9851,0.2102
08_22,Hi-STIFS,Interaction,Popcorn,8-C,S10,91.7793,88.8339,12.8366,0.1445
08_22,DARLING,Interaction,Xtra Early 320,10-A,S01,10.67,10.63,0.672,0.0632
08_22,DARLING,Interaction,Xtra Early 320,10-A,S02,4.148,2.293,3.088,1.3467
08_22,DARLING,Interaction,Xtra Early 320,10-A,S03,13.22,14.513,2.199,0.1515
08_22,DARLING,Interaction,Xtra Early 320,10-A,S04,1.692,1.73,0.213,0.1231
08_22,DARLING,Interaction,Xtra Early 320,10-A,S05,8.12,8.352,0.814,0.0975
08_22,DARLING,Interaction,Xtra Early 320,10-A,S06,7.908,8.337,1.03,0.1235
08_22,DARLING,Interaction,Xtra Early 320,10-A,S07,11.728,11.487,0.538,0.0468
08_22,DARLING,Interaction,Xtra Early 320,10-A,S08,1.541,1.577,0.075,0.0476
08_22,DARLING,Interaction,Xtra Early 320,10-A,S09,0.298,0.269,0.09,0.3346
08_22,DARLING,Interaction,Xtra Early 320,10-A,S10,12.626,12.705,0.312,0.0246
08_22,DARLING,Interaction,Xtra Early 320,10-A,S11,14.459,14.139,0.718,0.0508
08_22,DARLING,Interaction,Xtra Early 320,10-A,S12,10.695,10.581,0.644,0.0609
08_22,Hi-STIFS,Interaction,Xtra Early 320,10-A,S01,20.0163,20.2684,5.9302,0.2926
08_22,Hi-STIFS,Interaction,Xtra Early 320,10-A,S02,23.2053,21.0311,5.9383,0.2824
08_22,Hi-STIFS,Interaction,Xtra Early 320,10-A,S03,29.4091,23.7739,9.6054,0.404
08_22,Hi-STIFS,Interaction,Xtra Early 320,10-A,S04,6.7159,6.7986,1.9731,0.2902
08_22,Hi-STIFS,Interaction,Xtra Early 320,10-A,S05,19.4955,20.2139,4.572,0.2262
08_22,Hi-STIFS,Interaction,Xtra Early 320,10-A,S06,13.1293,15.1023,4.8549,0.3215
08_22,Hi-STIFS,Interaction,Xtra Early 320,10-A,S07,15.917,16.0824,2.223,0.1382
08_22,Hi-STIFS,Interaction,Xtra Early 320,10-A,S08,7.1586,5.6968,3.2832,0.5763
08_22,Hi-STIFS,Interaction,Xtra Early 320,10-A,S09,2.2514,2.2514,nan,nan
08_22,Hi-STIFS,Interaction,Xtra Early 320,10-A,S10,19.3339,19.8697,7.0573,0.3552
08_22,Hi-STIFS,Interaction,Xtra Early 320,10-A,S11,44.9686,42.0433,13.79,0.328
08_22,Hi-STIFS,Interaction,Xtra Early 320,10-A,S12,16.2779,15.2064,5.8786,0.3866
